,Title,Artist,Year,Link,Genre
122,배반의 장미,엄정화,1997,https://www.melon.com/song/detail.htm?songId=73257,댄스
123,바람의 노래,조용필,1997,https://www.melon.com/song/detail.htm?songId=72689,성인가요
124,애수,진시몬,1997,https://www.melon.com/song/detail.htm?songId=1913713,성인가요
125,오늘도 난,이승철,1997,https://www.melon.com/song/detail.htm?songId=68913,댄스
126,Bus 안에서,자자 (ZAZA),1997,https://www.melon.com/song/detail.htm?songId=71581,댄스
127,운명,쿨 (COOL),1997,https://www.melon.com/song/detail.htm?songId=71766,댄스
128,비오는 거리,이승훈,1997,https://www.melon.com/song/detail.htm?songId=68079,발라드
129,16/20 (열여섯 스물),주주 클럽,1997,https://www.melon.com/song/detail.htm?songId=71501,록/메탈
130,가위,유승준,1997,https://www.melon.com/song/detail.htm?songId=72698,댄스
131,그땐 그랬지,카니발,1997,https://www.melon.com/song/detail.htm?songId=91275,발라드
132,꿈의 대화,장혜진,1997,https://www.melon.com/song/detail.htm?songId=667127,발라드
133,밤의 길목에서 (Remake),김세영,1997,https://www.melon.com/song/detail.htm?songId=2023565,발라드
134,청혼,이소라,1997,https://www.melon.com/song/detail.htm?songId=1839667,발라드
135,애원(愛遠),박상민,1997,https://www.melon.com/song/detail.htm?songId=72166,발라드
136,날개,언타이틀,1997,https://www.melon.com/song/detail.htm?songId=1675485,댄스
137,연인,룰라,1997,https://www.melon.com/song/detail.htm?songId=32652,댄스
138,다시 돌아온 그대 위해,유재하를 추모하는 앨범 1987 - 다시 돌아온 그대위해,1997,https://www.melon.com/song/detail.htm?songId=1865508,발라드
139,졸업,전람회,1997,https://www.melon.com/song/detail.htm?songId=91249,발라드
140,사랑의 송가,Cucina Acoustica,1997,https://www.melon.com/song/detail.htm?songId=1708683,국내영화
141,그래,디바,1997,https://www.melon.com/song/detail.htm?songId=37501,댄스
142,행복,H.O.T.,1997,https://www.melon.com/song/detail.htm?songId=91264,댄스
143,현명한 선택,소찬휘,1997,https://www.melon.com/song/detail.htm?songId=1500836,댄스
144,사랑이라는 이유로,조 트리오,1997,https://www.melon.com/song/detail.htm?songId=176202,발라드
145,그대 떠나가도,조장혁,1997,https://www.melon.com/song/detail.htm?songId=69302,발라드
146,결혼해줘,임창정,1997,https://www.melon.com/song/detail.htm?songId=526821,발라드
147,헤어진 다음날,이현우,1997,https://www.melon.com/song/detail.htm?songId=1022090,발라드
148,Forever,안재욱,1997,https://www.melon.com/song/detail.htm?songId=72708,발라드
149,타인,영턱스클럽,1997,https://www.melon.com/song/detail.htm?songId=91257,발라드
150,사랑해 (Hiphop Ver.) (Contain Sample Of),이현도,1997,https://www.melon.com/song/detail.htm?songId=74610,랩/힙합
151,그녀를 위해,이정봉,1997,https://www.melon.com/song/detail.htm?songId=75440,발라드
152,뿌요 뿌요,유피,1997,https://www.melon.com/song/detail.htm?songId=91255,댄스
153,좋은사람 있으면 소개시켜줘,베이시스,1997,https://www.melon.com/song/detail.htm?songId=71196,발라드
154,Candy,H.O.T.,1997,https://www.melon.com/song/detail.htm?songId=71606,댄스
155,도시 탈출,클론,1997,https://www.melon.com/song/detail.htm?songId=91262,댄스
156,비련,구피,1997,https://www.melon.com/song/detail.htm?songId=2323456,댄스
157,그녀는...,레드플러스,1997,https://www.melon.com/song/detail.htm?songId=32488,록/메탈
158,Lonely Night,부활,1997,https://www.melon.com/song/detail.htm?songId=3390249,록/메탈
159,끼리 끼리,솔리드,1997,https://www.melon.com/song/detail.htm?songId=74113,"댄스, R&B/Soul"
160,영산강,안치환,1997,https://www.melon.com/song/detail.htm?songId=2273956,포크/블루스
161,뮤지컬,임상아,1997,https://www.melon.com/song/detail.htm?songId=1675247,발라드
162,말해줘,지누션,1997,https://www.melon.com/song/detail.htm?songId=74372,"댄스, 랩/힙합"
163,저 바다가 날 막겠어,임상아,1997,https://www.melon.com/song/detail.htm?songId=1675214,록/메탈
164,사나이 가는 길 (폼생폼사),젝스키스,1997,https://www.melon.com/song/detail.htm?songId=74289,댄스
165,Good Bye Yesterday,터보,1997,https://www.melon.com/song/detail.htm?songId=1606414,댄스
166,"사랑, 두려움",듀스,1997,https://www.melon.com/song/detail.htm?songId=37591,랩/힙합
167,순애보,유리상자,1997,https://www.melon.com/song/detail.htm?songId=74387,발라드
168,독립선언,이뉴,1997,https://www.melon.com/song/detail.htm?songId=991054,댄스
169,너에게 가고 싶어,이은미,1997,https://www.melon.com/song/detail.htm?songId=74882,발라드
170,,김정훈,1997,https://www.melon.com/song/detail.htm?songId=1522467,-
171,Gasoline,지누션,1997,https://www.melon.com/song/detail.htm?songId=91261,"댄스, 랩/힙합"
172,개성,리아,1997,https://www.melon.com/song/detail.htm?songId=1839527,록/메탈
173,믿어지지 않는 얘기,조규찬,1997,https://www.melon.com/song/detail.htm?songId=74911,발라드
174,영원 (永遠),김종서,1997,https://www.melon.com/song/detail.htm?songId=38412,록/메탈
175,침묵의 기록,이승환,1997,https://www.melon.com/song/detail.htm?songId=76227,발라드
176,바다,유피,1997,https://www.melon.com/song/detail.htm?songId=91256,댄스
177,4가지 하고 싶은말,리아,1997,https://www.melon.com/song/detail.htm?songId=1839524,록/메탈
178,무한지애(無恨之愛),김정민,1997,https://www.melon.com/song/detail.htm?songId=38587,발라드
179,널 닮은 세,신효범,1997,https://www.melon.com/song/detail.htm?songId=70077,발라드
180,연정 (戀情),젝스키스,1997,https://www.melon.com/song/detail.htm?songId=74288,댄스
181,그대는 어디에,임재범,1997,https://www.melon.com/song/detail.htm?songId=1722259,발라드
182,네모의 꿈,화이트,1997,https://www.melon.com/song/detail.htm?songId=1761812,발라드
183,심연(深淵),R.ef,1997,https://www.melon.com/song/detail.htm?songId=75138,댄스
184,Memories,사준,1997,https://www.melon.com/song/detail.htm?songId=72322,발라드
185,왜 하늘은...,이지훈,1997,https://www.melon.com/song/detail.htm?songId=68902,발라드
186,Summer Time,포지션,1997,https://www.melon.com/song/detail.htm?songId=91254,댄스
187,이별,이지훈,1997,https://www.melon.com/song/detail.htm?songId=75798,발라드
188,얄개시대,김원준,1997,https://www.melon.com/song/detail.htm?songId=39128,댄스
189,무기여 잘 있거라,박상민,1997,https://www.melon.com/song/detail.htm?songId=72165,발라드
190,나만의 신부,이지훈,1997,https://www.melon.com/song/detail.htm?songId=68907,댄스
191,악세사리,구본승,1997,https://www.melon.com/song/detail.htm?songId=38090,댄스
192,바램,변재원,1997,https://www.melon.com/song/detail.htm?songId=75835,발라드
193,존재의 이유 1,김종환,1997,https://www.melon.com/song/detail.htm?songId=842808,성인가요
194,발걸음,에메랄드 캐슬,1997,https://www.melon.com/song/detail.htm?songId=73737,록/메탈
195,진실에 관하여,여행스케치,1997,https://www.melon.com/song/detail.htm?songId=74800,"발라드, 포크/블루스"
196,질투,영턱스클럽,1997,https://www.melon.com/song/detail.htm?songId=74260,댄스
197,Cat`s Eye,김지현,1997,https://www.melon.com/song/detail.htm?songId=618869,댄스
198,거짓말이야,DJ DOC,1997,https://www.melon.com/song/detail.htm?songId=9397,댄스
199,나는 나,주주 클럽,1997,https://www.melon.com/song/detail.htm?songId=71502,록/메탈
200,Poison,엄정화,1998,https://www.melon.com/song/detail.htm?songId=83721,댄스
201,그녀와의 이별,김현정,1998,https://www.melon.com/song/detail.htm?songId=38547,댄스
202,애,쿨 (COOL),1998,https://www.melon.com/song/detail.htm?songId=77694,댄스
203,지킬 수 없는 약속,신승훈,1998,https://www.melon.com/song/detail.htm?songId=77374,발라드
204,애인이 생겼어요,터보,1998,https://www.melon.com/song/detail.htm?songId=1606672,댄스
205,Dreams Come True,S.E.S.,1998,https://www.melon.com/song/detail.htm?songId=75068,댄스
206,뻐꾸기 둥지위로 날아간 새,김건모,1998,https://www.melon.com/song/detail.htm?songId=38453,댄스
207,나나나,유승준,1998,https://www.melon.com/song/detail.htm?songId=489873,댄스
208,믿음,이소라,1998,https://www.melon.com/song/detail.htm?songId=1839686,발라드
209,착한 사랑,김민종,1998,https://www.melon.com/song/detail.htm?songId=38388,발라드
210,To Heaven,조성모,1998,https://www.melon.com/song/detail.htm?songId=1816948,발라드
211,나와 같다면,김장훈,1998,https://www.melon.com/song/detail.htm?songId=77363,발라드
212,사랑을 위하여,김종환,1998,https://www.melon.com/song/detail.htm?songId=1877126,성인가요
213,나의 사랑 천,김경호,1998,https://www.melon.com/song/detail.htm?songId=38698,록/메탈
214,P.S. I Love You,박정현,1998,https://www.melon.com/song/detail.htm?songId=2184575,발라드
215,비(悲),김정민,1998,https://www.melon.com/song/detail.htm?songId=46284,발라드
216,Epilogue,김종서,1998,https://www.melon.com/song/detail.htm?songId=38495,록/메탈
217,사람이 꽃보다 아름다워,안치환,1998,https://www.melon.com/song/detail.htm?songId=2274404,포크/블루스
218,거꾸로 강을 거슬러 오르는 저 힘찬 연어들처럼,강산에,1998,https://www.melon.com/song/detail.htm?songId=38793,록/메탈
219,진심,김광진,1998,https://www.melon.com/song/detail.htm?songId=33972,발라드
220,(`Cause) I`m Your Girl,S.E.S.,1998,https://www.melon.com/song/detail.htm?songId=78184,댄스
221,난 그래,리아,1998,https://www.melon.com/song/detail.htm?songId=32700,록/메탈
222,보낼수밖에 없는 난,소찬휘,1998,https://www.melon.com/song/detail.htm?songId=1500839,발라드
223,행복한 나를,에코,1998,https://www.melon.com/song/detail.htm?songId=91268,발라드
224,일,신해철,1998,https://www.melon.com/song/detail.htm?songId=33590,록/메탈
225,헤어진 다음날,이현우,1998,https://www.melon.com/song/detail.htm?songId=1022090,발라드
226,내 낡은 서랍 속의 바다,패닉,1998,https://www.melon.com/song/detail.htm?songId=437146,록/메탈
227,Everybody,진주,1998,https://www.melon.com/song/detail.htm?songId=75052,댄스
228,Love Love,비쥬,1998,https://www.melon.com/song/detail.htm?songId=81526,-
