,Artist,Genre,Title,Year
204,박건,성인가요,그 사람 이름은 잊었지만,1971
205,Toi Et Moi,포크/블루스,그리운 사람끼리,1971
206,정훈희,발라드,꽃동네 새동네,1971
207,은희,성인가요,꽃반지 끼고,1971
208,키보이스,성인가요,님 떠나갈 시간,1971
209,김추자,성인가요,님은 먼 곳에,1971
210,윤형주,포크/블루스,라라라,1971
211,나훈아,성인가요,머나먼 고향,1971
212,조미미,발라드,먼데서 오신 손님,1971
213,하춘화,성인가요,물새 한 마리,1971
214,조미미,발라드,바다가 육지라면,1971
215,키보이스,성인가요,바닷가의 추억,1971
216,송창식,포크/블루스,밤 비,1971
217,서유석,포크/블루스,비야 비야,1971
218,김태희,성인가요,사랑하다 싫어지면,1971
219,라나에로스포,포크/블루스,사랑해,1971
220,Toi Et Moi,성인가요,세월이 가면,1971
221,송대관,성인가요,세월이 약이겠지요,1971
222,서유석,포크/블루스,아름다운 사람,1971
223,한상일,성인가요,애모의 노래,1971
224,배호,성인가요,울고싶어,1971
225,하춘화,성인가요,잘했군 잘했어,1971
226,패티김,성인가요,장미와 판타론,1971
227,키보이스,성인가요,정든 배는 떠난다,1971
228,김상희,성인가요,참사랑,1971
229,나훈아,성인가요,찻집의 고독,1971
230,송창식,포크/블루스,창밖에는 비 오고요,1971
231,이현,성인가요,춤추는 첫사랑,1971
232,문정선,성인가요,파초의 꿈,1971
233,정미조,성인가요,개 여울,1972
234,이필원,포크/블루스,고독,1972
235,김상진,성인가요,고향이 좋아,1972
236,문주란,성인가요,공항의 이별,1972
237,이용복,성인가요,그 얼굴에 햇살을,1972
238,방주연,성인가요,그대 변치 않는다면,1972
239,이장희,포크/블루스,그애와 나랑은,1972
240,김세환,포크/블루스,길잃은 사슴,1972
241,비둘기 시스터즈,성인가요,까투리 사냥,1972
242,정훈희,발라드,꽃길,1972
243,문정선,성인가요,나의 노래,1972
244,송창식,포크/블루스,내나라 내겨레,1972
245,나훈아,성인가요,녹슬은 기찻길,1972
246,조미미,성인가요,단골손님,1972
247,김부자,성인가요,달타령,1972
248,이용복,포크/블루스,달맞이 꽃,1972
249,영 사운드,발라드,달무리,1972
250,윤형주,포크/블루스,두개의 작은 별,1972
251,영 사운드,성인가요,등불,1972
252,송창식,포크/블루스,딩동댕 지난 여름,1972
253,박인희,포크/블루스,모닥불,1972
254,나훈아,성인가요,모정의 세월,1972
255,김세환,포크/블루스,목장길 따라,1972
256,나훈아,성인가요,물레방아도는데,1972
257,조미미,성인가요,사랑은 장난이 아니랍니다,1972
258,최안순,성인가요,산까치야,1972
259,이연실,포크/블루스,새색시 시집가네,1972
260,양희은,포크/블루스,세노야 세노야,1972
261,김민기,포크/블루스,아침 이슬,1972
262,투코리안스,성인가요,언덕에 올라,1972
