,Artist,Link,Title,Year,Genre
78,노을,https://www.melon.com/song/detail.htm?songId=7985298,함께,2016,"발라드, 국내드라마"
79,백예린,https://www.melon.com/song/detail.htm?songId=8233373,Bye bye my blue,2016,R&B/Soul
80,태연 (TAEYEON),https://www.melon.com/song/detail.htm?songId=7877917,I (Feat. 버벌진트),2016,발라드
81,지코 (ZICO),https://www.melon.com/song/detail.htm?songId=8028725,사랑이었다 (Feat. 루나 of f(x)),2016,발라드
82,헤이즈 (Heize),https://www.melon.com/song/detail.htm?songId=8271355,"And July (Feat. DEAN, DJ Friz)",2016,랩/힙합
83,Crush,https://www.melon.com/song/detail.htm?songId=7912749,아마도 그건,2016,R&B/Soul
84,싸이 (PSY),https://www.melon.com/song/detail.htm?songId=7956304,DADDY (Feat. CL of 2NE1),2016,댄스
85,수퍼비,https://www.melon.com/song/detail.htm?songId=7899303,냉탕에,2016,"랩/힙합, 인디음악"
86,버스커 버스커,https://www.melon.com/song/detail.htm?songId=3753304,벚꽃 엔딩,2016,록/메탈
87,BLACKPINK,https://www.melon.com/song/detail.htm?songId=30069773,불장난,2016,댄스
88,다비치,https://www.melon.com/song/detail.htm?songId=30035555,내 옆에 그대인 걸,2016,발라드
89,iKON,https://www.melon.com/song/detail.htm?songId=7854179,취향저격,2016,랩/힙합
90,유재석,https://www.melon.com/song/detail.htm?songId=9647324,Dancing King,2016,댄스
91,아이유,https://www.melon.com/song/detail.htm?songId=7896508,스물셋,2016,댄스
92,박효신,https://www.melon.com/song/detail.htm?songId=4543502,야생화,2016,발라드
93,지민 (AOA),https://www.melon.com/song/detail.htm?songId=8075429,야 하고 싶어 (Feat. 시우민 of EXO),2016,댄스
94,XIA (준수),https://www.melon.com/song/detail.htm?songId=8141498,How Can I Love You,2016,"발라드, 국내드라마"
95,WINNER,https://www.melon.com/song/detail.htm?songId=8038492,센치해,2016,댄스
96,Zion.T,https://www.melon.com/song/detail.htm?songId=7881505,No Make Up,2016,R&B/Soul
97,Crush,https://www.melon.com/song/detail.htm?songId=30038185,어떻게 지내,2016,R&B/Soul
98,Crush,https://www.melon.com/song/detail.htm?songId=8172437,우아해 (woo ah),2016,R&B/Soul
99,첸 (CHEN),https://www.melon.com/song/detail.htm?songId=9611490,너를 위해,2016,"발라드, R&B/Soul, 국내드라마"
100,에일리(AILEE),https://www.melon.com/song/detail.htm?songId=30190630,첫눈처럼 너에게 가겠다,2017,"발라드, 국내드라마"
101,아이유,https://www.melon.com/song/detail.htm?songId=30314784,밤편지,2017,발라드
102,윤종신,https://www.melon.com/song/detail.htm?songId=30486509,좋니,2017,발라드
103,볼빨간사춘기,https://www.melon.com/song/detail.htm?songId=30163110,좋다고 말해,2017,"인디음악, 포크/블루스"
104,마크툽 (MAKTUB),https://www.melon.com/song/detail.htm?songId=4786735,Marry Me,2017,발라드
105,헤이즈 (Heize),https://www.melon.com/song/detail.htm?songId=30492279,비도 오고 그래서 (Feat. 신용재),2017,R&B/Soul
106,아이유,https://www.melon.com/song/detail.htm?songId=30378156,팔레트 (Feat. G-DRAGON),2017,R&B/Soul
107,Crush,https://www.melon.com/song/detail.htm?songId=30157753,Beautiful,2017,"발라드, R&B/Soul, 국내드라마"
108,SURAN (수란),https://www.melon.com/song/detail.htm?songId=30390068,오늘 취하면 (Feat. 창모) (Prod. SUGA),2017,R&B/Soul
109,TWICE (트와이스),https://www.melon.com/song/detail.htm?songId=30261007,KNOCK KNOCK,2017,댄스
110,WINNER,https://www.melon.com/song/detail.htm?songId=30341745,REALLY REALLY,2017,댄스
111,방탄소년단,https://www.melon.com/song/detail.htm?songId=30244931,봄날,2017,랩/힙합
112,AKMU (악동뮤지션),https://www.melon.com/song/detail.htm?songId=30181278,오랜 날 오랜 밤,2017,포크/블루스
113,볼빨간사춘기,https://www.melon.com/song/detail.htm?songId=9620469,우주를 줄게,2017,"인디음악, 포크/블루스"
114,볼빨간사춘기,https://www.melon.com/song/detail.htm?songId=9620473,나만 안되는 연애,2017,"인디음악, 포크/블루스"
115,볼빨간사춘기,https://www.melon.com/song/detail.htm?songId=30468654,남이 될 수 있을까,2017,"인디음악, 포크/블루스"
116,아이유,https://www.melon.com/song/detail.htm?songId=30349593,사랑이 잘 (With 오혁),2017,R&B/Soul
117,멜로망스,https://www.melon.com/song/detail.htm?songId=30514366,선물,2017,"발라드, 인디음악"
118,BLACKPINK,https://www.melon.com/song/detail.htm?songId=30481578,마지막처럼,2017,댄스
119,황치열,https://www.melon.com/song/detail.htm?songId=30467550,매일 듣는 노래 (A Daily Song),2017,발라드
120,BIGBANG,https://www.melon.com/song/detail.htm?songId=30147445,에라 모르겠다,2017,랩/힙합
121,헤이즈 (Heize),https://www.melon.com/song/detail.htm?songId=30492276,널 너무 모르고,2017,랩/힙합
122,BLACKPINK,https://www.melon.com/song/detail.htm?songId=30069773,불장난,2017,댄스
123,Red Velvet (레드벨벳),https://www.melon.com/song/detail.htm?songId=30512671,빨간 맛 (Red Flavor),2017,댄스
124,찬열 (CHANYEOL),https://www.melon.com/song/detail.htm?songId=30132687,Stay With Me,2017,"발라드, 랩/힙합, 국내드라마"
125,싸이 (PSY),https://www.melon.com/song/detail.htm?songId=30403590,New Face,2017,댄스
126,TWICE (트와이스),https://www.melon.com/song/detail.htm?songId=30054344,TT,2017,댄스
127,볼빨간사춘기,https://www.melon.com/song/detail.htm?songId=30414090,처음부터 너와 나,2017,"발라드, 국내드라마"
128,우원재,https://www.melon.com/song/detail.htm?songId=30613202,시차 (We Are) (Feat. 로꼬 & GRAY),2017,랩/힙합
129,Red Velvet (레드벨벳),https://www.melon.com/song/detail.htm?songId=30227054,Rookie,2017,댄스
130,신현희와김루트,https://www.melon.com/song/detail.htm?songId=5605860,오빠야,2017,"인디음악, 포크/블루스"
131,TWICE (트와이스),https://www.melon.com/song/detail.htm?songId=30413326,SIGNAL,2017,댄스
132,마마무 (Mamamoo),https://www.melon.com/song/detail.htm?songId=30079086,Decalcomanie (데칼코마니),2017,댄스
133,한동근,https://www.melon.com/song/detail.htm?songId=9614761,그대라는 사치,2017,발라드
134,G-DRAGON,https://www.melon.com/song/detail.htm?songId=30461396,"무제(無題) (Untitled, 2014)",2017,R&B/Soul
135,정키,https://www.melon.com/song/detail.htm?songId=30290011,부담이 돼 (Feat. 휘인 Of 마마무),2017,발라드
136,효린,https://www.melon.com/song/detail.htm?songId=30367365,BLUE MOON (Prod. GroovyRoom),2017,댄스
137,선미,https://www.melon.com/song/detail.htm?songId=30587846,가시나,2017,댄스
138,박재범,https://www.melon.com/song/detail.htm?songId=30049271,"All I Wanna Do (K) (Feat. Hoody, Loco)",2017,R&B/Soul
